Source,Target
0,1
0,2
0,4
0,9
0,21
0,30
0,38
0,78
0,86
0,116
0,129
0,138
0,144
0,167
0,196
0,197
0,215
0,231
0,260
0,298
0,320
0,347
0,364
0,438
0,460
0,540
0,673
0,772
0,815
1,3
1,6
1,14
1,51
1,80
1,128
1,163
1,194
1,318
1,411
1,620
1,646
1,833
2,5
2,8
2,10
2,18
2,19
2,20
2,28
2,33
2,42
2,53
2,60
2,64
2,65
2,71
2,81
2,96
2,103
2,104
2,105
2,137
2,157
2,160
2,192
2,248
2,256
2,307
2,319
2,327
2,362
2,373
2,396
2,404
2,439
2,455
2,456
2,501
2,525
2,530
2,546
2,608
2,668
2,693
2,737
2,758
2,774
2,788
2,898
2,918
2,926
3,52
3,66
3,70
3,123
3,412
3,470
3,472
3,516
3,599
3,813
4,7
4,12
4,16
4,46
4,95
4,99
4,124
4,132
4,154
4,306
4,334
4,335
4,440
4,574
4,936
4,986
5,61
5,63
5,203
5,326
5,388
5,393
5,520
5,533
5,577
5,662
5,850
6,15
6,29
6,329
6,568
7,43
7,185
7,337
7,724
8,13
8,39
8,47
8,244
8,491
8,584
8,972
9,11
9,31
9,127
9,133
9,164
9,207
9,275
9,310
9,324
9,419
9,451
9,514
9,663
9,735
9,804
9,885
9,976
10,25
10,59
10,125
10,130
10,200
10,360
10,757
10,761
10,928
11,34
11,176
11,225
11,688
11,791
11,839
11,852
12,24
12,49
12,62
12,331
13,17
13,44
13,79
13,91
13,159
13,302
13,367
13,383
13,889
13,939
13,962
14,300
14,475
14,487
14,578
15,22
15,92
15,110
15,142
15,156
15,201
15,224
15,321
15,328
15,366
15,612
15,807
15,870
15,996
16,610
16,650
17,126
17,252
17,263
17,532
17,707
17,979
17,990
18,107
18,135
18,287
18,303
18,862
19,75
21,23
22,384
22,680
22,837
23,26
23,32
23,48
23,55
23,93
23,106
23,235
23,314
23,567
23,679
24,27
24,37
24,90
24,146
24,218
24,803
24,919
24,937
25,36
25,268
25,895
26,41
27,54
27,85
27,394
27,636
27,965
28,35
28,82
28,375
28,746
30,166
31,627
32,714
32,753
33,202
33,262
33,333
33,443
33,539
33,638
33,911
34,205
34,290
34,338
34,372
34,583
34,811
35,40
35,139
35,276
35,330
35,706
36,149
36,344
36,603
36,672
37,45
37,50
37,57
37,97
37,118
37,152
37,257
37,413
37,478
37,515
37,537
37,611
37,619
37,674
37,691
37,705
37,777
37,831
37,879
38,74
38,109
38,211
38,431
39,639
40,341
40,358
40,485
40,581
41,184
41,274
41,480
42,69
42,108
42,120
42,183
42,220
43,158
43,598
44,134
44,212
44,214
44,227
44,237
44,299
44,435
44,730
45,56
45,73
45,94
45,102
45,168
45,177
45,213
45,261
45,350
45,466
45,665
45,683
45,752
45,782
45,824
45,969
47,88
47,101
47,112
47,165
47,255
47,380
47,422
47,593
47,651
47,682
47,930
48,58
48,141
48,304
48,322
48,845
49,162
49,266
49,669
49,703
49,856
51,98
51,766
52,67
52,447
52,494
53,121
53,143
54,122
54,148
54,401
54,823
55,84
55,193
55,270
55,445
55,812
55,877
56,216
56,250
56,458
56,486
56,717
56,922
57,68
57,89
57,292
57,377
57,908
58,872
59,76
59,117
59,420
59,535
59,616
59,836
59,989
60,448
61,100
61,198
61,204
61,243
61,718
61,873
62,429
62,550
65,233
66,72
66,119
66,273
66,418
66,621
68,342
69,77
69,111
69,113
69,131
69,136
69,190
69,254
69,289
69,339
69,365
69,505
69,519
69,736
70,356
71,173
71,325
72,87
72,174
72,221
72,282
72,434
72,497
72,591
72,624
72,816
73,83
73,161
73,944
74,698
75,988
76,147
76,169
76,209
76,222
76,264
77,283
77,340
77,580
78,150
79,153
79,267
80,226
80,247
80,378
80,808
80,820
82,465
83,239
83,278
83,437
83,496
85,454
85,548
85,708
87,710
88,269
88,433
89,392
89,961
89,982
91,756
92,406
93,182
93,794
94,887
95,402
98,696
98,901
99,206
99,719
100,145
100,151
100,217
100,251
100,259
100,280
100,291
100,295
100,317
100,348
100,355
100,463
100,606
100,765
100,799
100,897
101,542
102,114
102,386
102,490
102,592
102,929
104,353
106,115
108,195
108,294
109,352
109,462
109,689
109,760
109,770
109,940
109,993
110,140
110,246
110,459
110,562
110,675
111,832
112,844
113,732
114,407
114,426
115,240
118,702
119,357
119,382
120,175
120,188
120,666
120,709
121,416
121,632
121,722
124,178
124,600
125,446
125,560
125,916
127,241
128,180
128,296
128,493
128,701
128,778
129,223
131,155
131,301
131,371
131,894
132,907
133,795
136,346
137,602
140,484
140,631
141,385
143,181
143,199
143,253
143,288
143,297
143,597
144,506
145,230
145,387
145,798
146,509
147,308
147,389
147,875
148,228
148,286
148,878
149,810
150,449
150,859
153,210
153,481
153,637
153,711
153,747
155,891
155,959
157,749
158,170
158,189
159,503
160,171
160,265
160,428
160,498
160,512
160,781
160,864
164,186
164,343
165,172
165,234
166,834
166,881
166,984
167,741
169,390
169,790
171,208
171,622
172,409
172,432
172,684
172,942
172,992
175,309
175,523
177,179
177,236
177,284
177,483
177,960
178,187
178,626
179,739
182,191
182,678
182,733
182,848
183,921
184,245
184,336
184,526
184,544
184,566
184,769
185,359
185,436
185,518
185,728
186,312
186,559
187,715
192,524
195,450
196,219
196,554
196,951
197,332
198,943
199,738
200,398
200,489
200,504
200,553
200,773
200,857
201,896
202,249
202,279
203,232
203,408
203,657
203,676
203,685
203,740
206,605
208,640
209,410
209,521
209,692
211,558
211,573
213,277
213,370
213,589
214,361
214,442
214,805
215,238
215,323
215,399
215,531
216,547
217,754
218,427
219,405
219,565
220,417
221,949
222,242
222,293
222,349
222,391
222,425
222,557
222,787
222,932
226,229
227,379
229,368
229,712
231,614
235,395
235,582
235,604
235,743
235,806
235,853
237,311
237,376
237,461
237,609
238,748
239,510
239,912
240,345
242,354
243,536
244,272
244,313
244,424
248,623
249,827
254,457
254,552
255,792
256,258
256,369
257,571
258,590
261,363
262,271
262,828
262,866
265,563
265,868
266,285
267,316
268,835
273,488
273,641
273,644
273,681
274,587
274,635
274,785
276,281
276,315
276,750
279,545
279,950
280,555
281,305
281,628
285,541
285,780
288,938
289,556
289,661
294,855
297,444
297,482
297,963
300,527
300,755
300,784
300,886
300,945
301,977
303,397
304,655
304,751
307,469
307,729
308,499
308,607
308,671
309,430
310,415
311,374
311,744
313,528
313,561
313,883
314,854
316,955
320,476
320,517
320,585
320,594
320,840
322,453
325,630
325,775
325,893
327,716
327,826
328,572
333,915
334,351
334,381
334,697
334,999
335,421
335,615
335,925
336,654
338,941
340,495
340,634
340,797
344,403
345,874
345,917
348,441
348,764
348,825
349,618
354,468
361,851
366,985
367,522
367,948
369,704
370,471
373,625
373,653
373,690
373,695
375,400
375,905
376,414
376,479
376,500
376,538
376,652
378,613
384,586
386,564
386,742
387,464
390,507
390,575
390,686
390,759
397,452
397,645
397,981
398,570
398,768
399,779
399,800
400,423
400,474
406,789
406,902
407,511
407,513
407,551
407,642
407,860
409,569
409,667
409,829
411,502
411,534
411,913
