Id,Label
0,"LITTLE, ABNER"
1,"PRINCESS ZANDA"
2,"BLACK PANTHER/T'CHAL"
3,"STEELE, SIMON/WOLFGA"
4,"FORTUNE, DOMINIC"
5,"ERWIN, CLYTEMNESTRA"
6,"IRON MAN/TONY STARK "
7,"IRON MAN IV/JAMES R."
8,"RAVEN, SABBATH II/EL"
9,"CARNIVORE/COUNT ANDR"
10,"GHOST"
11,"ZIMMER, ABE"
12,"FU MANCHU"
13,"TARR, BLACK JACK"
14,"SMITH, SIR DENIS NAY"
15,"SHANG-CHI"
16,"STARSHINE II/BRANDY "
17,"ROM, SPACEKNIGHT"
18,"MAN-THING/THEODORE T"
19,"WU, LEIKO"
20,"DOCTOR DREDD"
21,"RESTON, CLIVE"
22,"JACKSON, STEVE"
23,"MYSTIQUE/RAVEN DARKH"
24,"BLOB/FRED J. DUKES"
25,"TORPEDO III/BROCK JO"
26,"PYRO/ALLERDYCE JOHNN"
27,"AVALANCHE/DOMINIC PE"
28,"ROGUE /"
29,"DESTINY II/IRENE ADL"
30,"HYBRID/JAMES JIMMY M"
31,"CLARK, SARAH"
32,"KILLBURN, MACK"
33,"JONES, TAMMY ANNE"
34,"JONES, LORRAINE LORR"
35,"JONES, NELL"
36,"JONES, DANIEL DANNY"
37,"CLARK, JOHN"
38,"SUB-MARINER/NAMOR MA"
39,"VASHTI"
40,"SEAWEED MAN"
41,"NOVA/RICHARD RIDER"
42,"FIRESTAR/ANGELICA JO"
43,"THUNDERBALL/DR. ELIO"
44,"NAMORITA/NITA PRENTI"
45,"SPEEDBALL/ROBBIE BAL"
46,"HULK/DR. ROBERT BRUC"
47,"NIGHT THRASHER/DUANE"
48,"SPIDER-MAN/PETER PAR"
49,"JUSTICE II/VANCE AST"
50,"TIGRA/GREER NELSON"
51,"WASP/JANET VAN DYNE "
52,"GALACTUS/GALAN"
53,"MOCKINGBIRD/DR. BARB"
54,"SILVER SURFER/NORRIN"
55,"HAWK"
56,"LORD CHAOS"
57,"SCARLET WITCH/WANDA "
58,"QUICKSILVER/PIETRO M"
59,"UATU"
60,"CAPTAIN AMERICA"
61,"THUNDERSTRIKE/ERIC K"
62,"WONDER MAN/SIMON WIL"
63,"DEATHLOK III/MICHAEL"
64,"OBLIVION"
65,"WOLVERINE/LOGAN "
66,"SHE-HULK/JENNIFER WA"
67,"VISION "
68,"PSYLOCKE/ELISABETH B"
69,"MARVEL GIRL/JEAN GRE"
70,"STORM/ORORO MUNROE S"
71,"ETERNITY/ADAM QADMON"
72,"KISMET/J'RIDIA STARD"
73,"IN-BETWEENER"
74,"MR. FANTASTIC/REED R"
75,"ANGEL/WARREN KENNETH"
76,"DEATH"
77,"MASTER ORDER"
78,"JUBILEE/JUBILATION L"
79,"THING/BENJAMIN J. GR"
80,"INVISIBLE WOMAN/SUE "
81,"INFINITY II"
82,"PUNISHER II/FRANK CA"
83,"ANDROMEDA/ANDROMEDA "
84,"BEAST/HENRY &HANK& P"
85,"GHOST RIDER III/DAN "
86,"CYCLOPS/SCOTT SUMMER"
87,"LIVING LASER/ARTHUR "
88,"CABE, BETHANY"
89,"SPYMASTER/JAKE JORDA"
90,"HOGAN, VIRGINIA PEPP"
91,"HOGAN, HAROLD J. HAP"
92,"BATROC/GEORGES BATRO"
93,"CARTER, SHARON"
94,"KARNILLA [ASGARDIAN]"
95,"HEIMDALL [ASGARDIAN]"
96,"ENCHANTRESS/AMORA/HE"
97,"LOKI [ASGARDIAN]"
98,"NIGHTMARE/EDVARD HAB"
99,"ZANIAC/BRAD WOLFE"
100,"THOR/DR. DONALD BLAK"
101,"SONIC"
102,"CHAIN"
103,"SPIDER-WOMAN II/JULI"
104,"CARPENTER, RACHEL"
105,"GRASP"
106,"CLEMSON, MIKE"
107,"COOPER, DR. VALERIE"
108,"CARPENTER, LARRY"
109,"RED GUARDIAN III/DR."
110,"DR. STRANGE/STEPHEN "
111,"DOLLAR BILL"
112,"HELLCAT/PATSY WALKER"
113,"NIGHTHAWK II/KYLE RI"
114,"DEVIL-SLAYER/ERIC SI"
115,"NORRISS, SISTER BARB"
116,"BANNER, BETTY ROSS T"
117,"ROSS, GEN. THADDEUS "
118,"COBALT MAN"
119,"MASTERMIND/JASON WYN"
120,"ROBERTS, TED"
121,"ARMBRUSTER, COLONEL "
122,"GORGON [INHUMAN]"
123,"LOCKJAW [INHUMAN]"
124,"CRYSTAL [INHUMAN]"
125,"BLACK BOLT/BLACKANTO"
126,"TRITON"
127,"KARNAK [INHUMAN]"
128,"WARLOCK II/ADAM WARL"
129,"ANALYZER"
130,"MAN-BEAST"
131,"ABOMINATION/EMIL BLO"
132,"RHINO"
133,"WILSON, JIM"
134,"JUGGERNAUT/CAIN MARK"
135,"PROFESSOR X/CHARLES "
136,"CORBEAU, DR. PETER"
137,"BRICKFORD, CLAY"
138,"MISSING LINK"
139,"STACY, PAUL"
140,"VENOM/EDDIE BROCK"
141,"PARKER, MAY"
142,"STACY, ARTHUR"
143,"STACY, JILL"
144,"BLADE"
145,"ROBERTSON, JOE"
146,"FORTUNATO, GIACOMO J"
147,"MORBIUS/DR. MICHAEL "
148,"LEEDS, BETTY BRANT"
149,"KINGPIN/WILSON FISK"
150,"GARTH, DONNA"
151,"ZOMBIE/SIMON GARTH"
152,"WATSON-PARKER, MARY "
153,"WATSON, ANNA"
154,"SPAULDING, PETER"
155,"MACHINE MAN/X-51"
156,"JOCASTA"
157,"GARVIN, GEARS"
158,"ULTRON"
159,"CALDRONE, JAVIER"
160,"JAMESON, J. JONAH"
161,"DOLMAN"
162,"URICH, BEN"
